Date,Bank Name,Account Name,APY (%)
2009-12-08,"Ally Bank","Online Savings Account",1.5
2010-01-05,"Ally Bank","Online Savings Account",1.49
2010-02-09,"Ally Bank","Online Savings Account",1.44
2010-02-17,"Ally Bank","Online Savings Account",1.39
2010-03-03,"Ally Bank","Online Savings Account",1.3
2010-03-12,"Ally Bank","Online Savings Account",1.29
2010-08-31,"Ally Bank","Online Savings Account",1.25
2010-09-28,"Ally Bank","Online Savings Account",1.24
2010-11-04,"Ally Bank","Online Savings Account",1.19
2010-11-20,"Ally Bank","Online Savings Account",1.09
2011-02-23,"Ally Bank","Online Savings Account",1.05
2011-03-21,"Ally Bank","Online Savings Account",1
2011-06-10,"Ally Bank","Online Savings Account",1.04
2011-08-08,"Ally Bank","Online Savings Account",1
2011-08-25,"Ally Bank","Online Savings Account",0.99
2011-10-11,"Ally Bank","Online Savings Account",0.94
2011-10-13,"Ally Bank","Online Savings Account",0.91
2011-10-20,"Ally Bank","Online Savings Account",0.85
2011-11-05,"Ally Bank","Online Savings Account",0.89
2012-01-13,"Ally Bank","Online Savings Account",0.84
2012-07-21,"Ally Bank","Online Savings Account",0.89
2012-08-31,"Ally Bank","Online Savings Account",0.95
2013-01-25,"Ally Bank","Online Savings Account",0.9
2013-03-11,"Ally Bank","Online Savings Account",0.84
2013-10-25,"Ally Bank","Online Savings Account",0.86
2013-11-12,"Ally Bank","Online Savings Account",0.85
2014-01-10,"Ally Bank","Online Savings Account",0.87
2014-09-05,"Ally Bank","Online Savings Account",0.9
2014-12-12,"Ally Bank","Online Savings Account",0.95
2014-12-19,"Ally Bank","Online Savings Account",0.99
2015-09-25,"Ally Bank","Online Savings Account",1
2017-04-21,"Ally Bank","Online Savings Account",1.05
2017-06-30,"Ally Bank","Online Savings Account",1.15
2017-09-01,"Ally Bank","Online Savings Account",1.2
2017-10-27,"Ally Bank","Online Savings Account",1.25
2018-01-19,"Ally Bank","Online Savings Account",1.35
2018-02-09,"Ally Bank","Online Savings Account",1.45
2018-04-27,"Ally Bank","Online Savings Account",1.5
2018-05-11,"Ally Bank","Online Savings Account",1.6
2018-06-15,"Ally Bank","Online Savings Account",1.65
2018-06-29,"Ally Bank","Online Savings Account",1.75
2018-08-03,"Ally Bank","Online Savings Account",1.8
2018-08-31,"Ally Bank","Online Savings Account",1.85
2018-10-05,"Ally Bank","Online Savings Account",1.9
2018-11-15,"Ally Bank","Online Savings Account",2
2019-01-17,"Ally Bank","Online Savings Account",2.2
2019-06-25,"Ally Bank","Online Savings Account",2.1
2019-08-06,"Ally Bank","Online Savings Account",1.9
2019-10-10,"Ally Bank","Online Savings Account",1.8
2019-11-13,"Ally Bank","Online Savings Account",1.7
